prob	ls
0.4412	415.6
0.4408	415.86
0.4404	416.01
0.44	416.12
0.4396	416.29
0.4392	416.47
0.4388	416.67
0.4384	416.92
0.438	417.28
0.4376	417.55
0.4372	417.68
0.4368	417.98
0.4364	418.02
0.436	418.26
0.4356	418.44
0.4352	418.57
0.4348	418.68
0.4344	418.88
0.434	419.12
0.4336	419.18
0.4332	419.48
0.4328	419.65
0.4324	419.85
0.432	420.05
0.4316	420.19
0.4312	420.44
0.4308	420.66
0.4304	420.88
0.43	421.0
0.4296	421.11
0.4292	421.25
0.4288	421.43
0.4284	421.68
0.428	422.02
0.4276	422.36
0.4272	422.5
0.4268	422.91
0.4264	423.28
0.426	423.41
0.4256	423.45
0.4252	423.71
0.4248	423.9
0.4244	424.16
0.424	424.43
0.4236	424.76
0.4232	425.0
0.4228	425.32
0.4224	425.5
0.422	425.75
0.4216	425.98
0.4212	426.12
0.4208	426.36
0.4204	426.47
0.42	426.65
0.4196	427.0
0.4192	427.26
0.4188	427.44
0.4184	427.59
0.418	427.78
0.4176	427.96
0.4172	428.08
0.4168	428.5
0.4164	428.66
0.416	428.89
0.4156	429.09
0.4152	429.16
0.4148	429.57
0.4144	429.74
0.414	429.98
0.4136	430.18
0.4132	430.39
0.4128	430.76
0.4124	430.97
0.412	431.0
0.4116	431.0
0.4112	431.16
0.4108	431.49
0.4104	431.71
0.41	432.09
0.4096	432.17
0.4092	432.3
0.4088	432.51
0.4084	432.77
0.408	432.88
0.4076	432.99
0.4072	433.15
0.4068	433.56
0.4064	433.71
0.406	433.71
0.4056	433.94
0.4052	434.16
0.4048	434.44
0.4044	434.73
0.404	434.81
0.4036	435.16
0.4032	435.33
0.4028	435.52
0.4024	435.75
0.402	435.98
0.4016	436.2
0.4012	436.61
0.4008	436.78
0.4004	437.16
0.4	437.58
0.3996	437.83
0.3992	438.01
0.3988	438.2
0.3984	438.33
0.398	438.84
0.3976	438.93
0.3972	439.0
0.3968	439.31
0.3964	439.64
0.396	439.84
0.3956	440.07
0.3952	440.25
0.3948	440.55
0.3944	440.67
0.394	440.81
0.3936	441.12
0.3932	441.35
0.3928	441.45
0.3924	441.83
0.392	441.89
0.3916	442.01
0.3912	442.35
0.3908	443.07
0.3904	443.34
0.39	443.61
0.3896	443.71
0.3892	443.81
0.3888	443.89
0.3884	444.02
0.388	444.34
0.3876	444.47
0.3872	444.71
0.3868	444.95
0.3864	445.14
0.386	445.52
0.3856	445.63
0.3852	445.8
0.3848	446.09
0.3844	446.39
0.384	446.71
0.3836	446.87
0.3832	447.23
0.3828	447.62
0.3824	447.72
0.382	447.98
0.3816	448.13
0.3812	448.35
0.3808	448.54
0.3804	448.63
0.38	448.83
0.3796	448.94
0.3792	449.19
0.3788	449.52
0.3784	449.87
0.378	450.19
0.3776	450.34
0.3772	450.42
0.3768	450.58
0.3764	450.78
0.376	451.09
0.3756	451.36
0.3752	451.69
0.3748	451.84
0.3744	451.98
0.374	452.36
0.3736	452.37
0.3732	452.51
0.3728	452.84
0.3724	452.92
0.372	453.01
0.3716	453.11
0.3712	453.19
0.3708	453.32
0.3704	453.83
0.37	454.15
0.3696	454.26
0.3692	454.56
0.3688	454.86
0.3684	454.99
0.368	455.2
0.3676	455.46
0.3672	455.73
0.3668	455.92
0.3664	456.08
0.366	456.46
0.3656	456.58
0.3652	456.8
0.3648	456.97
